version,ensemble_n,location,date,name,lat,lon,class_bins,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,p3_sd,p_3_min,p_3_max,predicted_class,measurement_date,toxicity,class
v0.1.3,10,PSP11.115,2022-05-02,CAS BASK,43.73316,-70.16358,"0,10,30,80",2022-05-06,2022-05-12,92,7,1,0,0.05602207449525583,0.09917790303006768,0.2827585441991687,0,2022-05-09,60.98141057196299,2
v0.1.3,10,PSP11.117,2022-05-02,CAS CF3,43.7119,-70.18787,"0,10,30,80",2022-05-06,2022-05-12,78,16,5,2,0.5855717976909246,0.9548353031277655,2.980516292154789,0,2022-05-09,59.58466034729233,2
v0.1.3,10,PSP10.11,2022-05-03,Ogunquit River,43.2503,-70.5954,"0,10,30,80",2022-05-07,2022-05-13,97,3,0,0,0.01411320834020154,0.01607979938853532,0.06505672936327755,0,2022-05-10,7.274957707349557,0
v0.1.3,10,PSP10.33,2022-05-03,Spurwink River,43.56632,-70.27305,"0,10,30,80",2022-05-07,2022-05-13,74,18,6,2,0.7821502170604147,1.1615370400249958,3.927205130457878,0,2022-05-10,25.783614030966017,1
v0.1.3,10,PSP12.01,2022-05-03,Basin Pt.,43.73848,-70.04343,"0,10,30,80",2022-05-07,2022-05-13,97,3,0,0,0.01119597510141307,0.01385067007504403,0.05210859817452729,0,2022-05-09,5.161545135061466,0
v0.1.3,10,PSP12.03,2022-05-03,Potts Pt.,43.73064,-70.02556,"0,10,30,80",2022-05-07,2022-05-13,88,10,2,0,0.09798839810766972,0.28028746601194143,0.5804697517305613,0,2022-05-09,1.9159472561904671,0
v0.1.3,10,PSP12.13,2022-05-03,Lumbos Hole,43.79553,-69.94557,"0,10,30,80",2022-05-07,2022-05-13,5,14,31,50,10.093496103667428,35.87926924228668,71.37864232063293,3,2022-05-09,76.74329183246657,2
v0.1.3,10,PSP12.28,2022-05-03,Bear Island,43.78556,-69.87415,"0,10,30,80",2022-05-07,2022-05-13,12,24,33,31,3.0650095642196393,26.193279027938843,36.93048655986786,2,2022-05-10,109.09191181963028,3
v0.1.3,10,PSP12.34,2022-05-03,Head Beach,43.71711,-69.84999,"0,10,30,80",2022-05-07,2022-05-13,89,10,1,0,0.08277536299202284,0.1595532987266779,0.42035761289298534,0,2022-05-10,0.36214681523695663,0
v0.1.3,10,PSP15.25,2022-05-04,Christmas Cove Town Landing,43.84476,-69.55365,"0,10,30,80",2022-05-08,2022-05-14,98,2,0,0,0.00404736599449925,0.00438046117778867,0.01666242169449106,0,2022-05-09,0.5789420737449918,0
v0.1.3,10,PSP16.41,2022-05-04,Port Clyde,43.92526,-69.259,"0,10,30,80",2022-05-08,2022-05-14,96,3,0,0,0.01024137856881594,0.01570357562741264,0.04802931216545403,0,2022-05-09,0.7059584559848022,0
